"hdiRank","country","hdi2019","pop2022"
"1","Norway","0.9570","5434.3190"
"2","Switzerland","0.9550","8740.4720"
"2","Ireland","0.9550","5023.1090"
"4","Hong Kong","0.9490","7488.8650"
"4","Iceland","0.9490","372.8990"
"6","Germany","0.9470","83369.8430"
"7","Sweden","0.9450","10549.3470"
"8","Australia","0.9440","26177.4130"
"8","Netherlands","0.9440","17564.0140"
"10","Denmark","0.9400","5882.2610"
"11","Singapore","0.9380","5975.6890"
"11","Finland","0.9380","5540.7450"
"13","United Kingdom","0.9320","67508.9360"
"14","Belgium","0.9310","11655.9300"
"14","New Zealand","0.9310","5185.2880"
"16","Canada","0.9290","38454.3270"
"17","United States","0.9260","338289.8570"
"18","Austria","0.9220","8939.6170"
"19","Japan","0.9190","123951.6920"
"19","Israel","0.9190","9038.3090"
"19","Liechtenstein","0.9190","39.3270"
"22","Slovenia","0.9170","2119.8440"
"23","South Korea","0.9160","51815.8100"
"23","Luxembourg","0.9160","647.5990"
"25","Spain","0.9040","47558.6300"
"26","France","0.9010","64626.6280"
"28","Malta","0.8950","533.2860"
"29","Italy","0.8920","59037.4740"
"29","Estonia","0.8920","1326.0620"
"31","United Arab Emirates","0.8900","9441.1290"
"32","Greece","0.8880","10384.9710"
"33","Cyprus","0.8870","1251.4880"
"34","Lithuania","0.8820","2750.0550"
"35","Poland","0.8800","39857.1450"
"36","Andorra","0.8680","79.8240"
"37","Latvia","0.8660","1850.6510"
"38","Portugal","0.8640","10270.8650"
"39","Slovakia","0.8600","5643.4530"
"40","Saudi Arabia","0.8540","36408.8200"
"40","Hungary","0.8540","9967.3080"
"42","Bahrain","0.8520","1472.2330"
"43","Chile","0.8510","19603.7330"
"43","Croatia","0.8510","4030.3580"
"45","Qatar","0.8480","2695.1220"
"46","Argentina","0.8450","45510.3180"
"48","Montenegro","0.8290","627.0820"
"49","Romania","0.8280","19659.2670"
"50","Palau","0.8260","18.0550"
"51","Kazakhstan","0.8250","19397.9980"
"52","Russia","0.8240","144713.3140"
"53","Belarus","0.8230","9534.9540"
"54","Turkey","0.8200","85341.2410"
"55","Uruguay","0.8170","3422.7940"
"56","Bulgaria","0.8160","6781.9530"
"57","Panama","0.8150","4408.5810"
"58","Bahamas","0.8140","409.9840"
"58","Barbados","0.8140","281.6350"
"60","Oman","0.8130","4576.2980"
"61","Georgia","0.8120","3744.3850"
"62","Malaysia","0.8100","33938.2210"
"62","Costa Rica","0.8100","5180.8290"
"64","Serbia","0.8060","7221.3650"
"64","Kuwait","0.8060","4268.8730"
"66","Mauritius","0.8040","1299.4690"